department_name,department_id,subdepartment_id,subdepartment_name,kpi_ref_number,kpa_name,kpi_owner_id,kpa_id,kpi,unit_of_measurement,strategic_objective_id,source_of_evidence,baseline,annual_target,first_quarter_target,second_quarter_target,third_quarter_target,fourth_quarter_target,budget
Municipal Manager's Office,1,1,Municipal Manager's Office,147,Good Governance and Public Participation,19,6,"Co-ordinated 11 Events, Mandela day, Women’s Day, Golden games, 16 days of Activism, Summer Tournament Disability day, Miss S.A.Y.C, Human Rights day, Easter Tournament, Mayors Cup, Youth Month Event",number,1,Confirmation letters/form from the beneficiaries,50% implementation of procurement plans developed,Purchasing of protective clothing for Golden Games by June 2017,Projects advertised within seven(7) days of receipt,1 SCM report submitted to council,Projects advertised within seven(7) days of receipt,Purchasing inputs for 2 Baking projects(Clarkebury and Masondluluntu baking project),0
Municipal Manager's Office,1,1,Municipal Manager's Office,148,Good Governance and Public Participation,19,6,Developed  Institutional Calendar and Diaries by June 2017,Invoices,1,Invitation and confirmation  from beneficiaries and Photos,3000 indigent households registered in the indigent register in 2015/16,"Co-ordinated 12 Events, Mandela day, Women’s Day, Golden games16 days of Activism, Summer Tournament, Disability day, Miss S.A.Y.C, Human Rights day, Easter Tournaments, Mayors Cup, Youth Month  by June 2017",1% increase in own revenue,5 Departmental Procurement Plans Developed ,1% increase in own revenue,,
Municipal Manager's Office,1,1,Municipal Manager's Office,149,Good Governance and Public Participation,19,6,Develop Audit committee Calendar Coordinate Audit Committee meetings Attendance registers, Confirmations ,1,documents,100% GRAP compliant asset register,Developed  Institutional Calendar and Diaries by June 2017,4000 indigent households registered in the indigent register,50% implementation of the Procurement plan,N/A,"100% completion of Extension of 8 Flats, Guardroom and Ablution Facility in Transido",0
Municipal Manager's Office,1,1,Municipal Manager's Office,150,Good Governance and Public Participation,19,6,4 council meetings coordinated,Confirmation,1,Minutes,4 Audit Committee Meetings,4 Audit committee meetings coordinated by June 2017,N/A,,N/A,Appointment of service provider for survey and development of building plans and submission of inception report,
Municipal Manager's Office,1,1,Municipal Manager's Office,151,Good Governance and Public Participation,21,6,4 ordinary Executive committee sittings coordinated,"Invites, Photos and Registers",1,Signed registers and minutes,4 Council Meetings, 4 ordinary council meetings  coordinated by June 2017,,100% adherence to the predetermined bid committee sitting schedules,,,0
Municipal Manager's Office,1,1,Municipal Manager's Office,152,Good Governance and Public Participation,21,6,28  standing committee sittings coordinated,Calendar,1,Council Resolution and IDP Process Plan,4 Executive meetings,4 ordinary Executive committee sittings coordinated by June 2017,Signing of  performance agreements  by 3 Managers below section 56s ,Projects advertised within seven(7) days of receipt,N/A,,
Municipal Manager's Office,1,1,Municipal Manager's Office,153,Good Governance and Public Participation,21,6,80 ward committee meetings coordinated (once per quarter for each ward),Registers/ Minutes,1,signed attendance registers and minutes,28Standing Committee Meetings coordinated,28  standing committee sittings coordinated by June 2017,N/A,1% increase in own revenue,SOMA,,70000
Municipal Manager's Office,1,1,Municipal Manager's Office,154,Good Governance and Public Participation,21,6,Adoption of 17/18 IDP /Budget process plan by  council  for the year31/08/2016,Adoption,1,signed minutes and attendance registers,80 Ward committee meetings,80 ward committee meetings coordinated (once per quarter for each ward) by June 2017,Purchase Piggery Feeding for Mvumbi Multi Purpose Coop Ward 18 Purchase Agric implements and seedling for Mavukayibambe  CO-OP Ward 9,N/A,,,0
Municipal Manager's Office,1,1,Municipal Manager's Office,155,Good Governance and Public Participation,21,6,Coordinate 4  IGR meetings ,"Registers, Minutes",1,Council Resolution,Adopted IDP/Budget/process plan 2016/17 ,Adoption of 17/18 IDP /Budget process plan by  council  for the year31/08/2016,N/A,"Purchase  Fencing, Agric Implements and seeds for NO:6 Farmers Coop Ward 19 ",Interview with Vukani Community Radio,,150000
Municipal Manager's Office,1,1,Municipal Manager's Office,156,Good Governance and Public Participation,22,6,Coordinate IDP road shows ,"Registers, Minutes",1,Signed Minutes and Registers and strategic plan report signed by MM,4 IGR meetings held in 2016/17,4 IGR  meetings coordinated  by June 2017,"Co-ordinate 3 Events ,Mandela day, Women’s Day ","Purchase   Poultry Inputs  for Nosizwe Women Project Ward-4, Purchase Agric inputs for Ilitha Labanye Women Project ","Develop Feasibilty Study and Business Plan for Sinako Youh  Ward 11  Purchase Upholstery Material and Machine For Sisonke Upholstery , Purchase Music equipment for Zetnet Youth ",,380000
Municipal Manager's Office,1,1,Municipal Manager's Office,157,Good Governance and Public Participation,21,6,Credible 2017/18 IDP adopted by council ,Adoption,1,council resolution,40 IDP roadshows were coordinated in 2015/16,40 IDP road shows coordinated by June 2017,Develop of an Institutional Calendar,Purchase Poultry Inputs and agric inputs for Khulasande Poultry,,,100000
Municipal Manager's Office,1,1,Municipal Manager's Office,158,Good Governance and Public Participation,21,6,Conduct 1 Strategic planning ,Registers,1,Proof of submission/acknowledgement of receipt from AG,Credible 2015/16 IDP adopted by council,Credible 2017/18 IDP adopted by council ,1 Audit committee meetings coordinated ,N/A,,,
Municipal Manager's Office,1,1,Municipal Manager's Office,159,Good Governance and Public Participation,21,6,Adoption of Annual report to the council,Adoption,1,Signed attendance register,Conducted a Strategic planning workshop in 2015/16 ,1 IDP strategic planning conducted by June 2017, 1 council sittings coordinated,"Co-ordinated 2 Events, 16 days of Activism, Disability day, Summer Tournament",,,
Municipal Manager's Office,1,1,Municipal Manager's Office,160,Good Governance and Public Participation,21,6,"Submission of the  2015/16 Final annual report, Annual performance information and Draft Annual report  to Auditor general and Treasury  on the legislated dated by June 2017",Proof of submission,1,Attendance registers and signed minutes,Annual report 2014/15 adopted by council,Annual report adopted by council on the 31/01/2017,1 Executive committee sittings coordinated,Supply and delivery of 2000 calendars and 100 Diaries,,"Submission of the Draft and Final EIA and Business plan for an adventure Trail project in Ward 13,19 and 20",
Municipal Manager's Office,1,1,Municipal Manager's Office,161,Good Governance and Public Participation,21,6,Conduct Trainings for Ward Committees Leadership skills and  Report writing,Registers,1,Signed registers,Annual report 2014/15 submitted to AG on  Jan 2017,"Submitted the  2015/16 Final annual report, Annual performance information and Draft Annual report  to Auditor general and Treasury on the legislated dated by June 2017",Coordinate 7 standing committee sittings ,1 Audit committee meetings coordinated ,,,
Municipal Manager's Office,1,1,Municipal Manager's Office,162,Good Governance and Public Participation,21,6,Conduct risk Management and  Fraud Risk Awareness/Assessment Workshop ,Report and attendance registers ,1,Attendance registers and signed minutes,Nil,200 Ward Committees trained on Leadership skills and  Report writing conducted by June 2017,Coordinate 20 meeting of ward committees(1 for each ward), 1 council sittings coordinated,,N/A,
Municipal Manager's Office,1,1,Municipal Manager's Office,163,Good Governance and Public Participation,21,6,Coordinate procurement processesSeek external assistanceTraining officials on fraudConduct fraud awareness and prepare a report,Registers,1,Registers,2015/2016 Risk assessment workshop  ,Approved Strategic Risk Assessment Report and  Fraud Risk Awareness/Assessment Workshop Report  by June 2017,17/18 IDP /Budget Process Plan adopted by council  on the 31/08/2016,1 Executive committee sittings coordinated,,Appointment of service provider for paving and installation of LED lights and Appointment of service provider for the installation of sceptic tank and construction of a Guardroom,
Municipal Manager's Office,1,1,Municipal Manager's Office,164,Good Governance and Public Participation,21,6,Coordinate Risk Management Committee Meetings ,Minutes and attendance registers,1,,2015/2016 Risk Committee meetings,1 Fraud awareness Campaigns conducted by June 2017,1 IGR meeting coordinated,Coordinate 7 standing committee sittings ,,"Appointment and Supply, delivery and installation of 10 Benches in the Heroes Park",350000
Municipal Manager's Office,1,1,Municipal Manager's Office,166,Good Governance and Public Participation,21,6,"Development of 1 operational risks registers, Coordinate strategic risk assessment and  Implemement  Risk management  as per approved Risk Management Plan",Risk Profiles ,1,,2015/2016 Risk Profiles  ,4  Sittings of Risk Management Committee Meetings  by June 2017,N/A,Coordinate 20 meeting of ward committees(1 for each ward),Poultry Structure Dev and Fencing for Mayihlome Liyana,Paving of the King Ngubengcuka Monument in Clarke bury,
